group_id,internal_group
G-RDA123000,31587.0
G-RDA122354,33334.0
G-RDA0011841,31157.0
G-RDA122114,31218.0
G-RDA122415,31330.0
G-RDA122823,31501.0
G-RDA0011618,31153.0
G-RDA12300063,65512.0
G-RDA01230456,73629.0
G-RDA01230789,73630.0
G-RDA122787,31477.0
G-RDA122993,33341.0
G-RDA122904,31539.0
G-RDA123051,31593.0
G-RDA123450,318825.0
G-RDA123996,324865.0
G-RDA0020641,36329.0
G-RDA122782,31473.0
G-RDA122759,31463.0
G-RDA0018879,34479.0
G-RDA0004462,30982.0
G-RDA0005087,31054.0
G-RDA123233,309235.0
G-RDA0013318,31163.0
G-RDA0005089,56866.0
G-RDA122785,31475.0
G-RDA122810,31496.0
G-RDA122058,30994.0
G-RDA122736,33338.0
G-RDA122443,31340.0
G-RDA122667,31412.0
G-RDA122607,31009.0
G-RDA122376,31312.0
G-RDA122743,31453.0
G-RDA122340,31300.0
G-RDA122122,31220.0
G-RDA122131,31223.0
G-RDA122151,33348.0
G-RDA123002,33326.0
G-RDA122135,31226.0
G-RDA122045,31197.0
G-RDA122388,31317.0
G-RDA122141,31229.0
G-RDA122144,30997.0
G-RDA122396,33331.0
G-RDA122033,31192.0
G-RDA122397,31321.0
G-RDA122398,31004.0
G-RDA122739,31452.0
G-RDA123007,31590.0
G-RDA122902,31538.0
G-RDA122772,31468.0
G-RDA122298,30999.0
G-RDA122311,31286.0
G-RDA122976,31577.0
G-RDA122965,31570.0
G-RDA122288,31280.0
G-RDA122342,31302.0
G-RDA122362,31308.0
G-RDA122899,31020.0
G-RDA122166,31239.0
G-RDA122809,33328.0
G-RDA122169,31241.0
G-RDA122911,31542.0
G-RDA122387,31316.0
G-RDA122179,31245.0
G-RDA122824,31502.0
G-RDA122805,31493.0
G-RDA122874,31530.0
G-RDA122185,31246.0
G-RDA122440,31338.0
G-RDA122186,31247.0
G-RDA122259,31269.0
G-RDA122403,31005.0
G-RDA122390,31319.0
G-RDA122291,31281.0
G-RDA122404,31323.0
G-RDA122405,31324.0
G-RDA122407,31325.0
G-RDA122034,31193.0
G-RDA122737,31450.0
G-RDA122812,31497.0
G-RDA122345,31303.0
G-RDA0007012,31092.0
G-RDA122366,33358.0
G-RDA122307,31285.0
G-RDA122560,31364.0
G-RDA122199,31249.0
G-RDA122880,33337.0
